iter	RMSE
349	4866.410579
350	4864.049448
351	4860.907382
352	4860.338732
353	4860.117346
354	4859.278972
355	4858.253185
356	4857.715506
357	4856.085753
358	4853.833039
359	4851.970533
360	4850.599749
361	4848.915036
362	4847.677666
363	4846.392983
364	4845.250761
365	4844.810461
366	4843.158884
367	4841.945952
368	4840.256591
369	4837.717512
370	4837.351669
371	4834.573849
372	4831.445347
373	4829.505602
374	4827.819322
375	4826.373764
